[aime] loaded 60 problems from years=['2024', '2025-I', '2025-II']
[aime] 47/60 id=2025-II-02 gold=49 maj=49 (OK) pass=1/1 counts={'49': 1}
[aime] 48/60 id=2025-II-03 gold=82 maj=98 (x) pass=0/1 counts={'98': 1}
[aime] 49/60 id=2025-II-04 gold=106 maj=106 (OK) pass=1/1 counts={'106': 1}
[aime] 50/60 id=2025-II-05 gold=336 maj=312 (x) pass=0/1 counts={'312': 1}
[aime] 51/60 id=2025-II-06 gold=293 maj=73 (x) pass=0/1 counts={'73': 1}
[aime] 52/60 id=2025-II-07 gold=237 maj=1 (x) pass=0/1 counts={'1': 1}
[aime] 53/60 id=2025-II-08 gold=610 maj=1 (x) pass=0/1 counts={'1': 1}
[aime] 54/60 id=2025-II-09 gold=149 maj=150 (x) pass=0/1 counts={'150': 1}
[aime] 55/60 id=2025-II-10 gold=907 maj=777 (x) pass=0/1 counts={'777': 1}
[aime] 56/60 id=2025-II-11 gold=113 maj=103 (x) pass=0/1 counts={'103': 1}
[aime] 57/60 id=2025-II-12 gold=19 maj=19 (OK) pass=1/1 counts={'19': 1}
[aime] 58/60 id=2025-II-13 gold=248 maj=3 (x) pass=0/1 counts={'3': 1}
[aime] 59/60 id=2025-II-14 gold=104 maj=98 (x) pass=0/1 counts={'98': 1}
[aime] 60/60 id=2025-II-15 gold=240 maj=188 (x) pass=0/1 counts={'188': 1}
[aime] wrote /workspace/senpai/target/research/validity/aime_g32_recovery_653/results/shipped_g128_aime_gb6144.json
[aime] DONE label=shipped_g128 maj@1=0.3833 (23/60) mean_pass_rate=0.3833 extract_fail_rate=0.000
