[aime] loaded 60 problems from years=['2024', '2025-I', '2025-II']
[aime] 20/60 id=2024-2024-II-9 gold=902 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 21/60 id=2024-2024-II-14 gold=211 maj=211 (OK) pass=1/1 counts={'211': 1}
[aime] 22/60 id=2024-2024-II-5 gold=80 maj=370 (x) pass=0/1 counts={'370': 1}
[aime] 23/60 id=2024-2024-I-9 gold=480 maj=160 (x) pass=0/1 counts={'160': 1}
[aime] 24/60 id=2024-2024-II-2 gold=236 maj=236 (OK) pass=1/1 counts={'236': 1}
[aime] 25/60 id=2024-2024-II-1 gold=73 maj=73 (OK) pass=1/1 counts={'73': 1}
[aime] 26/60 id=2024-2024-I-10 gold=113 maj=31 (x) pass=0/1 counts={'31': 1}
[aime] 27/60 id=2024-2024-II-8 gold=127 maj=7 (x) pass=0/1 counts={'7': 1}
[aime] 28/60 id=2024-2024-I-14 gold=104 maj=104 (OK) pass=1/1 counts={'104': 1}
[aime] 29/60 id=2024-2024-I-5 gold=104 maj=107 (x) pass=0/1 counts={'107': 1}
[aime] 30/60 id=2024-2024-II-13 gold=321 maj=321 (OK) pass=1/1 counts={'321': 1}
[aime] 31/60 id=2025-I-01 gold=70 maj=70 (OK) pass=1/1 counts={'70': 1}
[aime] 32/60 id=2025-I-02 gold=588 maj=588 (OK) pass=1/1 counts={'588': 1}
[aime] 33/60 id=2025-I-03 gold=16 maj=16 (OK) pass=1/1 counts={'16': 1}
[aime] 34/60 id=2025-I-04 gold=117 maj=95 (x) pass=0/1 counts={'95': 1}
[aime] 35/60 id=2025-I-05 gold=279 maj=279 (OK) pass=1/1 counts={'279': 1}
[aime] 36/60 id=2025-I-06 gold=504 maj=504 (OK) pass=1/1 counts={'504': 1}
[aime] 37/60 id=2025-I-07 gold=821 maj=13 (x) pass=0/1 counts={'13': 1}
[aime] 38/60 id=2025-I-08 gold=77 maj=193 (x) pass=0/1 counts={'193': 1}
[aime] 39/60 id=2025-I-09 gold=62 maj=6 (x) pass=0/1 counts={'6': 1}
[aime] 40/60 id=2025-I-10 gold=81 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 41/60 id=2025-I-11 gold=259 maj=68 (x) pass=0/1 counts={'68': 1}
[aime] 42/60 id=2025-I-12 gold=510 maj=3 (x) pass=0/1 counts={'3': 1}
[aime] 43/60 id=2025-I-13 gold=204 maj=163 (x) pass=0/1 counts={'163': 1}
[aime] 44/60 id=2025-I-14 gold=60 maj=63 (x) pass=0/1 counts={'63': 1}
[aime] 45/60 id=2025-I-15 gold=735 maj=521 (x) pass=0/1 counts={'521': 1}
[aime] 46/60 id=2025-II-01 gold=468 maj=468 (OK) pass=1/1 counts={'468': 1}
[aime] 47/60 id=2025-II-02 gold=49 maj=49 (OK) pass=1/1 counts={'49': 1}
[aime] 48/60 id=2025-II-03 gold=82 maj=80 (x) pass=0/1 counts={'80': 1}
[aime] 49/60 id=2025-II-04 gold=106 maj=106 (OK) pass=1/1 counts={'106': 1}
[aime] 50/60 id=2025-II-05 gold=336 maj=768 (x) pass=0/1 counts={'768': 1}
[aime] 51/60 id=2025-II-06 gold=293 maj=864 (x) pass=0/1 counts={'864': 1}
[aime] 52/60 id=2025-II-07 gold=237 maj=16 (x) pass=0/1 counts={'16': 1}
[aime] 53/60 id=2025-II-08 gold=610 maj=781 (x) pass=0/1 counts={'781': 1}
[aime] 54/60 id=2025-II-09 gold=149 maj=161 (x) pass=0/1 counts={'161': 1}
[aime] 55/60 id=2025-II-10 gold=907 maj=88 (x) pass=0/1 counts={'88': 1}
[aime] 56/60 id=2025-II-11 gold=113 maj=729 (x) pass=0/1 counts={'729': 1}
[aime] 57/60 id=2025-II-12 gold=19 maj=5 (x) pass=0/1 counts={'5': 1}
[aime] 58/60 id=2025-II-13 gold=248 maj=3 (x) pass=0/1 counts={'3': 1}
[aime] 59/60 id=2025-II-14 gold=104 maj=98 (x) pass=0/1 counts={'98': 1}
[aime] 60/60 id=2025-II-15 gold=240 maj=188 (x) pass=0/1 counts={'188': 1}
[aime] wrote /workspace/senpai/target/research/validity/aime_g32_recovery_653/results/official_g32_aime_gb6144.json
[aime] DONE label=official_g32 maj@1=0.4167 (25/60) mean_pass_rate=0.4167 extract_fail_rate=0.000
