[aime] loaded 60 problems from years=['2024', '2025-I', '2025-II']
[aime] 36/60 id=2025-I-06 gold=504 maj=504 (OK) pass=1/1 counts={'504': 1}
[aime] 37/60 id=2025-I-07 gold=821 maj=12 (x) pass=0/1 counts={'12': 1}
[aime] 38/60 id=2025-I-08 gold=77 maj=46 (x) pass=0/1 counts={'46': 1}
[aime] 39/60 id=2025-I-09 gold=62 maj=0 (x) pass=0/1 counts={'0': 1}
[aime] 40/60 id=2025-I-10 gold=81 maj=139 (x) pass=0/1 counts={'139': 1}
[aime] 41/60 id=2025-I-11 gold=259 maj=575 (x) pass=0/1 counts={'575': 1}
[aime] 42/60 id=2025-I-12 gold=510 maj=0 (x) pass=0/1 counts={'0': 1}
[aime] 43/60 id=2025-I-13 gold=204 maj=154 (x) pass=0/1 counts={'154': 1}
[aime] 44/60 id=2025-I-14 gold=60 maj=63 (x) pass=0/1 counts={'63': 1}
[aime] 45/60 id=2025-I-15 gold=735 maj=7 (x) pass=0/1 counts={'7': 1}
[aime] 46/60 id=2025-II-01 gold=468 maj=468 (OK) pass=1/1 counts={'468': 1}
[aime] 47/60 id=2025-II-02 gold=49 maj=49 (OK) pass=1/1 counts={'49': 1}
[aime] 48/60 id=2025-II-03 gold=82 maj=100 (x) pass=0/1 counts={'100': 1}
[aime] 49/60 id=2025-II-04 gold=106 maj=106 (OK) pass=1/1 counts={'106': 1}
[aime] 50/60 id=2025-II-05 gold=336 maj=384 (x) pass=0/1 counts={'384': 1}
[aime] 51/60 id=2025-II-06 gold=293 maj=0 (x) pass=0/1 counts={'0': 1}
[aime] 52/60 id=2025-II-07 gold=237 maj=255 (x) pass=0/1 counts={'255': 1}
[aime] 53/60 id=2025-II-08 gold=610 maj=9 (x) pass=0/1 counts={'9': 1}
[aime] 54/60 id=2025-II-09 gold=149 maj=149 (OK) pass=1/1 counts={'149': 1}
[aime] 55/60 id=2025-II-10 gold=907 maj=777 (x) pass=0/1 counts={'777': 1}
[aime] 56/60 id=2025-II-11 gold=113 maj=233 (x) pass=0/1 counts={'233': 1}
[aime] 57/60 id=2025-II-12 gold=19 maj=137 (x) pass=0/1 counts={'137': 1}
[aime] 58/60 id=2025-II-13 gold=248 maj=275 (x) pass=0/1 counts={'275': 1}
[aime] 59/60 id=2025-II-14 gold=104 maj=100 (x) pass=0/1 counts={'100': 1}
[aime] 60/60 id=2025-II-15 gold=240 maj=188 (x) pass=0/1 counts={'188': 1}
[aime] wrote research/validity/int4_mtp_spec_quality_panel/results-greedy-0p22/spec_aime_greedy_0p22_gb6144.json
[aime] DONE label=spec_aime_greedy_0p22_gb6144 maj@1=0.3667 (22/60) mean_pass_rate=0.3667 extract_fail_rate=0.000
